channel_name	ids	id_c	max_scanned_at	criteria_by_avg
KabirGaming451	108583067776810	1	2021-08-07 00:00:00	10000
MrStivenTc2	582998495531168	1	2021-07-11 00:00:00	10000
twilightgaming1112	111307260403464	1	2021-07-16 00:00:00	10000
PredatorGamingPhilippines	584787571695318	1	2021-05-20 00:00:00	10000
menu1155	664557957491895	1	2021-08-10 00:00:00	10000
vinny.gomes97	1617159125085716	1	2021-01-30 00:00:00	10000
bobimpubgmz	2386924678025279	1	2020-11-27 00:00:00	10000
BRENKarlTzy	164424031160484	1	2021-07-21 00:00:00	10000
bobinkl	2386924678025279	1	2021-04-10 00:00:00	10000
NexplayEsports	107125704096969	1	2021-03-12 00:00:00	10000
anhdauhoptv	100830495192182	1	2021-09-02 00:00:00	10000
MUGB2	101766835244696	1	2021-05-02 00:00:00	10000
jkjmovii	105272928208669	1	2021-06-21 00:00:00	10000
bobimpubt	2386924678025279	1	2021-06-10 00:00:00	10000
reborngamingchannel	"2114352198861916, 100044500605651"	2	2021-01-25 00:00:00	10000
leogamingleoleo	414080775451266	1	2021-04-12 00:00:00	10000
SecretBiuBiu	2198844307053766	1	2020-09-30 00:00:00	10000
LOCK-On-Live-103212597976863	103212597976863	1	2021-08-17 00:00:00	10000
THERecopilation	101991888174912	1	2020-10-05 00:00:00	10000
ChowGaming19	106694034269927	1	2020-11-11 00:00:00	10000
savyultras90	237970582968745	1	2021-05-14 00:00:00	10000
papooko	1032168636988438	1	2020-10-30 00:00:00	10000
Smile-l-Gaming-105670407889555	105670407889555	1	2021-07-30 00:00:00	10000
TheDonato.Gaming.15M	108073010767210	1	2020-12-15 00:00:00	10000
JimzuOfficial	316429435182120	1	2020-11-25 00:00:00	10000
jhewelryhersheydelacerna0710	104049941454933	1	2020-12-09 00:00:00	10000
LouieFTSM	101324104735878	1	2021-08-09 00:00:00	10000
Yavixdddddd	107757410880649	1	2020-09-22 00:00:00	10000
EgyLiveTrends	102105798425285	1	2021-04-10 00:00:00	10000
plastikwarnet	1861046030680604	1	2021-08-29 00:00:00	10000
ChooxTv-804722076362085	804722076362085	1	2021-05-12 00:00:00	10000
official.jba28	106260261034425	1	2021-03-21 00:00:00	10000
0623day	1401566010081190	1	2020-12-24 00:00:00	10000
huongvitinhthan.page	100063617708377	1	2021-08-06 00:00:00	10000
djjoanaA	100063862504058	1	2021-08-21 00:00:00	10000
B2KAWMKING	100115001632913	1	2020-12-29 00:00:00	10000
bobimpubg9x	2386924678025279	1	2020-11-19 00:00:00	10000
bobimklo	2386924678025279	1	2021-04-13 00:00:00	10000
Pero-K-Churo-110000611188556	110000611188556	1	2021-06-03 00:00:00	10000
bobimpubgbkz	2386924678025279	1	2021-01-06 00:00:00	10000
Gre5T	101829524806948	1	2021-09-01 00:00:00	10000
saltyfraggersph	111799640493570	1	2020-10-03 00:00:00	10000
xboxisthebestbox	112231540537939	1	2021-06-20 00:00:00	10000
Reena-sharma-101357125528899	101357125528899	1	2021-06-14 00:00:00	10000
kreckgamer	224064014411158	1	2021-09-05 00:00:00	10000
WIEDADZAIN	103482125363061	1	2021-09-02 00:00:00	10000
bobimqk	2386924678025279	1	2021-04-09 00:00:00	10000
baoboa.fans	"87127436, 100044193831300, 289266134513036"	3	2021-08-05 00:00:00	10000
NoobyDiaries	2094012867587420	1	2021-09-04 00:00:00	10000
2147994912081790	100050241440286	1	2021-04-01 00:00:00	10000
bobimkol	2386924678025279	1	2021-04-13 00:00:00	10000
baimpaula.fanpage	121133789280198	1	2021-03-08 00:00:00	10000
fbgamersonu	113529653637892	1	2021-01-22 00:00:00	10000
btrluxxy	105798744216651	1	2020-11-28 00:00:00	10000
